ACTON,G.            162                                                         
BAKER,R.            152                                                         
BRAMLEY,O.H.        248                                                         
CHEESEMAN,O.        141                                                         
CORY,G.             336                                                         
ELLIOTT,D.          875                                                         
FIGGINS,S.          413                                                         
HARVEY,C.D.W.       205                                                         
HASTINGS,G,M.       391                                                         
KENDALL,J.G.        294                                                         
LANCASTER,W.R.      624                                                         
MILES,R.            233                                                         
NEWMAN,M.W.         450                                                         
PITT,W.H.           515                                                         
ROLF,D.E.           114                                                         
SHEERS,C.D.         241                                                         
SUTCLIFFE,M.        472                                                         
TAYLOR,G.C.         407                                                         
WILTON,L.W.         404                                                         
WINSTONE,E.M.       307                                                         
