NEWMAN,M.W.         516C                                                        
GOODFELLOW,D.T.     889A                                                        
MILES,R.               D                                                        
HARVEY,C.D.W.       289A                                                        
BARTLETT,S.G.       183A                                                        
CORY,G.                D                                                        
READ,K.M.           001A                                                        
PITT,W.H.                                                                       
ROLF,D.E.              D                                                        
ELLIOTT,D.          291C                                                        
HASTINGS,G,M.          D                                                        
BRAMLEY,O.H.        439C                                                        
